Year	Item	Brand	WarrantyRevenue
2012	MP3 Player	Generic	20
2012	E-Reader	Generic	20
2012	Tablet	Plus	30
2012	Laptop	Generic	100
2012	Laptop	Plus	120
2012	Laptop	Generic	100
2012	Camera	Generic	70
2012	Phone	Plus	42
2012	E-Reader	Plus	24
2012	Phone	Generic	35
2012	Phone	Generic	35
2012	Phone	Generic	35
2012	Camera	Plus	84
2012	Dryer	Generic	100
2012	Phone	Generic	35
2012	Tablet	Plus	30
2012	Guitar	Generic	60
2012	E-Reader	Generic	20
2012	Phone	Generic	35
2012	Tablet	Generic	25
2012	Tablet	Plus	30
2012	Camera	Plus	84
2012	Phone	Plus	42
2012	Phone	Plus	42
2012	GPS	Generic	5
2012	GPS	Plus	6
2012	MP3 Player	Plus	24
2012	Speakers	Plus	60
2012	Guitar	Plus	72
2012	E-Reader	Generic	20
2012	MP3 Player	Generic	20
2012	MP3 Player	Plus	24
2012	Phone	Plus	42
2012	Phone	Plus	42
2012	Laptop	Generic	100
2012	Dryer	Plus	120
2012	Laptop	Plus	120
2012	MP3 Player	Plus	24
2012	Desktop CPU	Generic	80
2012	Phone	Generic	35
2012	MP3 Player	Generic	20
2012	Tablet	Generic	25
2012	MP3 Player	Plus	24
2012	MP3 Player	Generic	20
2012	MP3 Player	Plus	24
2012	TV	Plus	168
2012	Phone	Plus	42
2012	Laptop	Plus	120
2012	MP3 Player	Generic	20
2012	E-Reader	Plus	24
2012	Camera	Generic	70
2012	Phone	Plus	42
2012	Phone	Plus	42
2012	Washer	Plus	120
2012	Camera	Generic	70
2012	E-Reader	Generic	20
2012	Speakers	Generic	50
2012	MP3 Player	Generic	20
2012	Refrigerator	Generic	200
2012	Refrigerator	Plus	240
2012	Phone	Generic	35
2012	E-Reader	Generic	20
2012	E-Reader	Plus	24
2012	Phone	Plus	42
2012	E-Reader	Generic	20
2012	Tablet	Generic	25
2012	Laptop	Generic	100
2012	Phone	Generic	35
2012	Phone	Generic	35
2012	Laptop	Plus	120
2012	MP3 Player	Plus	24
2012	MP3 Player	Plus	24
2012	Tablet	Plus	30
2012	Phone	Generic	35
2012	MP3 Player	Generic	20
2012	MP3 Player	Generic	20
2012	MP3 Player	Plus	24
2012	Phone	Generic	35
2012	Washer	Generic	100
2012	Tablet	Plus	30
2012	MP3 Player	Plus	24
2012	Laptop	Generic	100
2012	Tablet	Plus	30
2012	Tablet	Plus	30
2012	Laptop	Generic	100
2012	Camera	Plus	84
2012	Phone	Plus	42
2012	MP3 Player	Plus	24
2012	MP3 Player	Generic	20
2012	Camera	Generic	70
2012	MP3 Player	Plus	24
2012	Tablet	Plus	30
2012	Phone	Generic	35
2012	Desktop CPU	Generic	80
2012	TV	Plus	168
2012	E-Reader	Generic	20
2012	Laptop	Generic	100
2012	Tablet	Generic	25
2012	Phone	Generic	35
2012	Dryer	Generic	100
2012	TV	Plus	168
2012	Tablet	Plus	30
2012	Camera	Generic	70
2012	Tablet	Plus	30
2012	MP3 Player	Generic	20
2012	E-Reader	Generic	20
2012	Tablet	Plus	30
2012	GPS	Plus	6
2012	Laptop	Plus	120
2012	Laptop	Generic	100
2012	GPS	Plus	6
2012	Phone	Plus	42
2012	Phone	Generic	35
2012	Phone	Plus	42
2012	Camera	Plus	84
2012	Phone	Plus	42
2012	Camera	Generic	70
2012	Phone	Generic	35
2012	Laptop	Plus	120
2012	Phone	Generic	35
2012	Phone	Generic	35
2012	Washer	Generic	100
2012	Laptop	Plus	120
2012	Phone	Generic	35
2012	Phone	Plus	42
2012	MP3 Player	Generic	20
2012	TV	Plus	168
2012	Tablet	Generic	25
2012	TV	Plus	168
2012	MP3 Player	Generic	20
2012	MP3 Player	Plus	24
2012	GPS	Generic	5
2012	MP3 Player	Plus	24
2012	TV	Generic	140
2012	Phone	Generic	35
2012	E-Reader	Plus	24
2012	MP3 Player	Plus	24
2012	Speakers	Generic	50
2012	Dryer	Generic	100
2012	MP3 Player	Plus	24
2012	Laptop	Plus	120
2012	Phone	Generic	35
2012	GPS	Plus	6
2012	MP3 Player	Generic	20
2012	Laptop	Generic	100
2012	E-Reader	Plus	24
2012	Guitar	Generic	60
2012	GPS	Generic	5
2012	Phone	Plus	42
2012	E-Reader	Plus	24
2012	Camera	Plus	84
2012	Camera	Plus	84
2012	E-Reader	Generic	20
2012	Phone	Generic	35
2012	Laptop	Plus	120
2012	E-Reader	Generic	20
2012	E-Reader	Generic	20
2012	Phone	Generic	35
2012	MP3 Player	Plus	24
2012	Phone	Generic	35
2012	TV	Plus	168
2012	Laptop	Generic	100
2012	MP3 Player	Plus	24
2012	TV	Plus	168
2012	TV	Plus	168
2012	E-Reader	Plus	24
2012	Phone	Plus	42
2012	Camera	Generic	70
2012	Tablet	Generic	25
2012	Refrigerator	Plus	240
2012	MP3 Player	Generic	20
2012	MP3 Player	Plus	24
2012	Laptop	Plus	120
2012	MP3 Player	Plus	24
2012	E-Reader	Plus	24
2012	MP3 Player	Generic	20
2012	Phone	Generic	35
2012	Phone	Plus	42
2012	Camera	Plus	84
2012	MP3 Player	Plus	24
2012	GPS	Plus	6
2012	Camera	Plus	84
2012	Phone	Plus	42
2012	Phone	Generic	35
2012	E-Reader	Plus	24
2012	Phone	Plus	42
2012	Desktop CPU	Generic	80
2012	MP3 Player	Generic	20
2012	MP3 Player	Generic	20
2012	MP3 Player	Generic	20
2012	MP3 Player	Generic	20
2012	TV	Plus	168
2012	MP3 Player	Generic	20
2012	MP3 Player	Generic	20
2012	MP3 Player	Plus	24
2012	MP3 Player	Plus	24
2012	Laptop	Plus	120
2012	Camera	Plus	84
2012	Phone	Generic	35
2012	Laptop	Generic	100
2012	Phone	Generic	35
2012	E-Reader	Plus	24
2012	Desktop CPU	Generic	80
2012	Phone	Generic	35
2012	Laptop	Generic	100
2012	TV	Generic	140
2012	Laptop	Plus	120
2012	MP3 Player	Generic	20
2012	Tablet	Plus	30
2012	E-Reader	Generic	20
2012	MP3 Player	Plus	24
2012	MP3 Player	Plus	24
2012	Tablet	Plus	30
2012	MP3 Player	Plus	24
2012	GPS	Generic	5
2012	Speakers	Generic	50
2012	Camera	Plus	84
2012	Laptop	Plus	120
2012	E-Reader	Plus	24
2012	Desktop CPU	Plus	96
2012	Tablet	Plus	30
2012	Phone	Plus	42
2012	TV	Generic	140
2012	TV	Generic	140
2012	Laptop	Plus	120
2012	Desktop CPU	Generic	80
2012	Camera	Plus	84
2012	Phone	Plus	42
2012	Desktop CPU	Plus	96
2012	Laptop	Plus	120
2012	E-Reader	Generic	20
2012	Desktop CPU	Plus	96
2012	Laptop	Plus	120
2012	MP3 Player	Plus	24
2012	Camera	Plus	84
2012	Washer	Generic	100
2012	MP3 Player	Generic	20
2012	Camera	Generic	70
2012	MP3 Player	Generic	20
2012	MP3 Player	Generic	20
2012	Phone	Generic	35
2012	Desktop CPU	Plus	96
2012	MP3 Player	Generic	20
2012	Phone	Generic	35
2012	Speakers	Generic	50
2012	MP3 Player	Generic	20
2012	MP3 Player	Plus	24
2012	MP3 Player	Plus	24
2012	TV	Generic	140
2012	MP3 Player	Generic	20
2012	Phone	Generic	35
2012	Phone	Generic	35
2012	Refrigerator	Plus	240
2012	Tablet	Generic	25
2012	TV	Plus	168
2012	E-Reader	Plus	24
2012	MP3 Player	Plus	24
2012	E-Reader	Generic	20
2012	Camera	Plus	84
2012	GPS	Generic	5
2012	Laptop	Plus	120
2012	Phone	Generic	35
2012	TV	Generic	140
2012	Speakers	Plus	60
2012	TV	Generic	140
2012	Laptop	Plus	120
2012	Desktop CPU	Generic	80
2012	MP3 Player	Generic	20
2012	Laptop	Plus	120
2012	Desktop CPU	Generic	80
2012	Refrigerator	Generic	200
2012	MP3 Player	Generic	20
2012	MP3 Player	Generic	20
2012	MP3 Player	Generic	20
2012	Laptop	Plus	120
2012	Tablet	Generic	25
2012	E-Reader	Generic	20
2012	TV	Plus	168
2012	Desktop CPU	Generic	80
2012	Phone	Plus	42
2012	Phone	Generic	35
2012	Camera	Generic	70
2012	Tablet	Plus	30
2012	Phone	Plus	42
2012	E-Reader	Plus	24
2012	Phone	Generic	35
2012	Tablet	Plus	30
2012	Tablet	Generic	25
2012	Tablet	Generic	25
2012	Guitar	Plus	72
2012	GPS	Generic	5
2012	MP3 Player	Generic	20
2012	Tablet	Plus	30
2012	Phone	Plus	42
2012	Laptop	Plus	120
2012	MP3 Player	Generic	20
2012	Laptop	Plus	120
2012	E-Reader	Plus	24
2012	Camera	Generic	70
2012	Desktop CPU	Generic	80
2012	MP3 Player	Generic	20
2012	E-Reader	Plus	24
2012	MP3 Player	Generic	20
2012	Refrigerator	Generic	200
2012	Camera	Generic	70
2012	Tablet	Generic	25
2012	MP3 Player	Plus	24
2012	MP3 Player	Generic	20
2012	Phone	Plus	42
2012	Camera	Generic	70
2012	Washer	Plus	120
2012	Phone	Plus	42
2012	Phone	Plus	42
2012	MP3 Player	Plus	24
2012	Laptop	Plus	120
2012	Phone	Plus	42
2012	Phone	Plus	42
2012	Laptop	Plus	120
2012	E-Reader	Generic	20
2012	MP3 Player	Generic	20
2012	Phone	Plus	42
2012	E-Reader	Generic	20
2012	Desktop CPU	Generic	80
2012	Tablet	Plus	30
2012	Laptop	Generic	100
2012	Laptop	Generic	100
2012	Phone	Generic	35
2012	MP3 Player	Plus	24
2012	MP3 Player	Generic	20
2012	Laptop	Generic	100
2012	Dryer	Plus	120
2011	Laptop	Plus	120
2011	Laptop	Plus	120
2011	TV	Generic	140
2011	GPS	Plus	6
2011	E-Reader	Plus	24
2011	E-Reader	Plus	24
2011	Tablet	Plus	30
2011	Laptop	Plus	120
2011	Laptop	Generic	100
2011	Laptop	Plus	120
2011	TV	Plus	168
2011	Phone	Plus	42
2011	Phone	Generic	35
2011	E-Reader	Plus	24
2011	Tablet	Plus	30
2011	Phone	Plus	42
2011	TV	Generic	140
2011	Laptop	Generic	100
2011	Dryer	Generic	100
2011	Tablet	Plus	30
2011	Speakers	Plus	60
2011	Dryer	Generic	100
2011	TV	Plus	168
2011	E-Reader	Plus	24
2011	Phone	Plus	42
2011	Phone	Generic	35
2011	Tablet	Plus	30
2011	Laptop	Plus	120
2011	TV	Plus	168
2011	TV	Plus	168
2011	Laptop	Generic	100
2011	Dryer	Plus	120
2011	Phone	Generic	35
2011	Camera	Plus	84
2011	Desktop CPU	Plus	96
2011	Laptop	Generic	100
2011	Laptop	Plus	120
2011	Desktop CPU	Generic	80
2011	Tablet	Plus	30
2011	Guitar	Plus	72
2011	Tablet	Generic	25
2011	TV	Generic	140
2011	MP3 Player	Generic	20
2011	Laptop	Plus	120
2011	E-Reader	Generic	20
2011	Laptop	Generic	100
2011	Tablet	Plus	30
2011	Washer	Plus	120
2011	Phone	Generic	35
2011	Phone	Generic	35
2011	Tablet	Generic	25
2011	Tablet	Generic	25
2011	Dryer	Plus	120
2011	Laptop	Generic	100
2011	E-Reader	Generic	20
2011	Laptop	Plus	120
2011	Laptop	Plus	120
2011	Desktop CPU	Generic	80
2011	Speakers	Generic	50
2011	Phone	Plus	42
2011	Phone	Generic	35
2011	Phone	Generic	35
2011	Desktop CPU	Plus	96
2011	Tablet	Generic	25
2011	Laptop	Generic	100
2011	MP3 Player	Generic	20
2011	Phone	Plus	42
2011	Refrigerator	Plus	240
2011	Tablet	Plus	30
2011	Desktop CPU	Plus	96
2011	Phone	Plus	42
2011	Tablet	Generic	25
2011	MP3 Player	Plus	24
2011	Phone	Generic	35
2011	Desktop CPU	Plus	96
2011	Phone	Generic	35
2011	Desktop CPU	Plus	96
2011	Tablet	Plus	30
2011	Laptop	Generic	100
2011	Tablet	Plus	30
2011	Phone	Plus	42
2011	Laptop	Generic	100
2011	Laptop	Generic	100
2011	Phone	Generic	35
2011	Phone	Plus	42
2011	Refrigerator	Generic	200
2011	TV	Generic	140
2011	E-Reader	Generic	20
2011	TV	Generic	140
2011	TV	Generic	140
2011	Laptop	Plus	120
2011	Tablet	Generic	25
2011	Laptop	Plus	120
2011	Phone	Generic	35
2011	Phone	Plus	42
2011	Camera	Plus	84
2011	Phone	Generic	35
2011	E-Reader	Plus	24
2011	Desktop CPU	Plus	96
2011	Speakers	Generic	50
2011	Dryer	Generic	100
2011	Phone	Plus	42
2011	Washer	Plus	120
2011	E-Reader	Plus	24
2011	Phone	Generic	35
2011	Laptop	Generic	100
2011	Laptop	Plus	120
2011	Laptop	Plus	120
2011	E-Reader	Generic	20
2011	Camera	Plus	84
2011	Phone	Generic	35
2011	TV	Generic	140
2011	Laptop	Generic	100
2011	E-Reader	Generic	20
2011	Phone	Plus	42
2011	Tablet	Generic	25
2011	MP3 Player	Generic	20
2011	Phone	Generic	35
2011	MP3 Player	Plus	24
2011	Dryer	Plus	120
2011	MP3 Player	Generic	20
2011	Laptop	Plus	120
2011	Phone	Generic	35
2011	Dryer	Plus	120
2011	Tablet	Plus	30
2011	Laptop	Plus	120
2011	Laptop	Generic	100
2011	Tablet	Generic	25
2011	Laptop	Plus	120
2011	Phone	Plus	42
2011	Dryer	Plus	120
2011	Tablet	Generic	25
2011	Desktop CPU	Plus	96
2011	Laptop	Plus	120
2011	Tablet	Plus	30
2011	Laptop	Generic	100
2011	Laptop	Generic	100
2011	Phone	Plus	42
2011	TV	Plus	168
2011	Laptop	Plus	120
2011	Camera	Generic	70
2011	Phone	Generic	35
2011	TV	Plus	168
2011	Laptop	Generic	100
2011	Washer	Plus	120
2011	Phone	Generic	35
2011	E-Reader	Generic	20
2011	TV	Generic	140
2011	Laptop	Generic	100
2011	Desktop CPU	Generic	80
2011	Tablet	Plus	30
2011	Phone	Generic	35
2011	Laptop	Generic	100
2011	GPS	Plus	6
2011	Refrigerator	Plus	240
2011	Phone	Generic	35
2011	Phone	Generic	35
2011	Washer	Plus	120
2011	TV	Plus	168
2011	Phone	Generic	35
2011	TV	Plus	168
2011	Tablet	Plus	30
2011	Laptop	Plus	120
2011	Speakers	Plus	60
2011	Desktop CPU	Generic	80
2011	Laptop	Generic	100
2011	Tablet	Plus	30
2011	Phone	Plus	42
2011	Laptop	Generic	100
2011	Tablet	Generic	25
2011	Phone	Plus	42
2011	Phone	Plus	42
2011	Refrigerator	Plus	240
2011	Phone	Plus	42
2011	GPS	Generic	5
2011	Laptop	Plus	120
2011	Phone	Generic	35
2011	Phone	Generic	35
2011	TV	Generic	140
2011	Tablet	Generic	25
2011	Desktop CPU	Plus	96
2011	Washer	Plus	120
2011	Phone	Generic	35
2011	MP3 Player	Generic	20
2011	Tablet	Plus	30
2011	Speakers	Plus	60
2011	Desktop CPU	Generic	80
2011	Desktop CPU	Generic	80
2011	E-Reader	Generic	20
2011	Laptop	Generic	100
2011	Desktop CPU	Plus	96
2011	GPS	Plus	6
2011	Speakers	Plus	60
2011	Laptop	Generic	100
2011	Speakers	Generic	50
2011	Tablet	Generic	25
2011	Phone	Plus	42
2011	MP3 Player	Generic	20
2011	Washer	Generic	100
2011	Laptop	Generic	100
2011	GPS	Generic	5
2011	Refrigerator	Generic	200
2011	Laptop	Generic	100
2011	Phone	Generic	35
2011	Tablet	Generic	25
2011	Laptop	Generic	100
2011	Desktop CPU	Generic	80
2011	Washer	Generic	100
2011	Phone	Plus	42
2011	Washer	Plus	120
2011	Dryer	Plus	120
2011	Phone	Generic	35
2011	MP3 Player	Plus	24
2011	Guitar	Plus	72
2011	Desktop CPU	Generic	80
2011	Washer	Generic	100
2011	Tablet	Plus	30
2011	Refrigerator	Generic	200
2011	TV	Generic	140
2011	Tablet	Plus	30
2011	E-Reader	Generic	20
2011	Speakers	Generic	50
2011	Laptop	Generic	100
2011	Guitar	Generic	60
2011	Laptop	Generic	100
2011	Tablet	Generic	25
2011	E-Reader	Generic	20
2011	Washer	Plus	120
2011	GPS	Plus	6
2011	Tablet	Generic	25
2011	Laptop	Generic	100
2011	Phone	Plus	42
2011	Phone	Plus	42
2011	Phone	Generic	35
2011	Phone	Generic	35
2011	Tablet	Generic	25
2011	Desktop CPU	Plus	96
2011	Refrigerator	Plus	240
2011	Washer	Generic	100
2011	Phone	Plus	42
2011	Laptop	Generic	100
2011	Desktop CPU	Plus	96
2011	Tablet	Generic	25
2011	TV	Plus	168
2011	TV	Generic	140
2011	Phone	Generic	35
2011	MP3 Player	Plus	24
2011	Tablet	Generic	25
2011	Tablet	Generic	25
2011	E-Reader	Plus	24
2011	Phone	Generic	35
2011	TV	Generic	140
2011	Tablet	Generic	25
2011	Tablet	Generic	25
2011	MP3 Player	Plus	24
2011	Laptop	Plus	120
2011	Phone	Generic	35
2011	Desktop CPU	Plus	96
2011	E-Reader	Generic	20
2011	Tablet	Generic	25
2011	Laptop	Plus	120
2011	Guitar	Generic	60
2011	Laptop	Plus	120
2011	E-Reader	Plus	24
2011	Phone	Generic	35
2011	TV	Plus	168
2011	TV	Generic	140
2011	TV	Plus	168
2011	Phone	Plus	42
2011	E-Reader	Generic	20
2011	Refrigerator	Plus	240
2011	Washer	Plus	120
2011	Laptop	Plus	120
2011	Speakers	Plus	60
2011	Refrigerator	Plus	240
2011	Laptop	Generic	100
2011	TV	Plus	168
2011	Phone	Generic	35
2011	Phone	Plus	42
2011	Speakers	Plus	60
2011	Refrigerator	Generic	200
2011	Phone	Plus	42
2011	Dryer	Generic	100
2011	Phone	Plus	42
2011	Dryer	Generic	100
2011	Phone	Plus	42
2011	Laptop	Generic	100
2011	Phone	Plus	42
2011	Guitar	Generic	60
2011	Laptop	Plus	120
2011	Tablet	Generic	25
2011	Tablet	Generic	25
2011	Laptop	Plus	120
2011	Laptop	Plus	120
2011	Laptop	Generic	100
2011	Phone	Generic	35
2011	E-Reader	Plus	24
2011	TV	Generic	140
2011	E-Reader	Generic	20
2011	Laptop	Generic	100
2011	Phone	Generic	35
2011	Laptop	Generic	100
2011	Laptop	Plus	120
2011	Washer	Generic	100
2011	TV	Generic	140
2011	Phone	Generic	35
2011	Laptop	Generic	100
2011	Tablet	Generic	25
2011	Laptop	Plus	120
2011	TV	Plus	168
2011	Tablet	Generic	25
2011	Washer	Generic	100
2011	Guitar	Generic	60
2011	Laptop	Generic	100
2011	Washer	Generic	100
2011	Washer	Generic	100
2011	Phone	Plus	42
2011	Guitar	Plus	72
2011	Desktop CPU	Generic	80
2011	Laptop	Plus	120
2011	Tablet	Plus	30
2011	Speakers	Plus	60
2011	Dryer	Plus	120
2011	Laptop	Plus	120
2011	Laptop	Plus	120
2011	GPS	Plus	6
2011	TV	Plus	168
2011	Camera	Plus	84
2011	TV	Generic	140
2011	Phone	Plus	42
2011	Dryer	Plus	120
2011	Guitar	Plus	72
2011	Laptop	Plus	120
2011	Refrigerator	Plus	240
2011	Phone	Plus	42
2011	Desktop CPU	Generic	80
2011	Phone	Generic	35
2011	TV	Generic	140
2011	Tablet	Plus	30
2011	Tablet	Plus	30
2011	Phone	Generic	35
2011	Refrigerator	Plus	240
2011	Laptop	Generic	100
2011	Desktop CPU	Plus	96
2011	Refrigerator	Generic	200
2011	Phone	Generic	35
2011	Camera	Generic	70
2011	Tablet	Generic	25
2011	E-Reader	Plus	24
2011	Tablet	Plus	30
2011	TV	Generic	140
2011	Dryer	Generic	100
2011	TV	Generic	140
2011	Refrigerator	Generic	200
2011	Laptop	Generic	100
2011	Speakers	Plus	60
2011	Tablet	Generic	25
2011	Dryer	Generic	100
2011	Laptop	Plus	120
2011	Laptop	Generic	100
2011	Laptop	Plus	120
2011	Tablet	Plus	30
2011	Speakers	Plus	60
2011	Phone	Generic	35
2011	Refrigerator	Plus	240
2011	Refrigerator	Plus	240
2011	Laptop	Generic	100
2011	Dryer	Plus	120
2011	MP3 Player	Generic	20
2011	MP3 Player	Generic	20
2011	Phone	Plus	42
2011	Phone	Generic	35
2011	Laptop	Generic	100
2011	Laptop	Plus	120
2011	Tablet	Generic	25
2011	TV	Generic	140
2011	Phone	Plus	42
2011	Laptop	Generic	100
2011	Tablet	Generic	25
2011	Desktop CPU	Plus	96
2011	Phone	Generic	35
2011	Dryer	Plus	120
2011	MP3 Player	Plus	24
2011	Camera	Plus	84
2011	E-Reader	Generic	20
2011	Desktop CPU	Generic	80
2011	Phone	Generic	35
2011	Laptop	Plus	120
2011	Phone	Plus	42
2011	TV	Plus	168
2011	GPS	Plus	6
2011	Laptop	Generic	100
2011	MP3 Player	Plus	24
2011	Refrigerator	Plus	240
2011	GPS	Generic	5
2011	Phone	Plus	42
2011	Speakers	Plus	60
2011	E-Reader	Generic	20
2011	Speakers	Generic	50
2011	Laptop	Plus	120
2011	Camera	Plus	84
2011	Speakers	Generic	50
2011	Desktop CPU	Generic	80
2011	Tablet	Plus	30
2011	MP3 Player	Generic	20
2011	Dryer	Generic	100
2011	Desktop CPU	Plus	96
2011	Tablet	Plus	30
2011	MP3 Player	Plus	24
2011	Desktop CPU	Plus	96
2011	Laptop	Plus	120
2011	TV	Generic	140
2011	Laptop	Plus	120
2011	Phone	Generic	35
2011	Camera	Plus	84
2011	Phone	Generic	35
2011	Desktop CPU	Generic	80
2011	TV	Plus	168
2011	Tablet	Plus	30
2011	Phone	Plus	42
2011	E-Reader	Generic	20
2011	MP3 Player	Plus	24
2011	E-Reader	Generic	20
2011	Refrigerator	Plus	240
2011	Guitar	Generic	60
2011	GPS	Generic	5
2011	Laptop	Plus	120
2011	Phone	Generic	35
2011	Laptop	Plus	120
2011	Tablet	Plus	30
2011	Phone	Plus	42
2011	Tablet	Plus	30
2011	Phone	Plus	42
2011	Speakers	Plus	60
2011	Laptop	Generic	100
2011	Tablet	Plus	30
2011	Laptop	Generic	100
2011	Laptop	Plus	120
2011	Washer	Plus	120
2011	E-Reader	Plus	24
2011	Refrigerator	Generic	200
2011	Tablet	Generic	25
2011	Tablet	Generic	25
2011	Laptop	Generic	100
2011	Phone	Plus	42
2011	Phone	Plus	42
2011	E-Reader	Generic	20
2011	Desktop CPU	Generic	80
2011	Refrigerator	Plus	240
2011	Phone	Generic	35
2011	Laptop	Generic	100
2011	Phone	Generic	35
2011	E-Reader	Plus	24
2011	MP3 Player	Plus	24
2011	Tablet	Plus	30
2011	Speakers	Generic	50
2011	Camera	Generic	70
2011	Tablet	Plus	30
2011	Laptop	Generic	100
2011	TV	Generic	140
2011	TV	Generic	140
2011	Dryer	Generic	100
2011	Speakers	Generic	50
2011	Phone	Plus	42
2011	Phone	Generic	35
2011	E-Reader	Plus	24
2011	Tablet	Plus	30
2011	Phone	Generic	35
2011	Tablet	Plus	30
2011	Tablet	Generic	25
2011	Tablet	Generic	25
2011	Phone	Plus	42
2011	Tablet	Plus	30
2011	Tablet	Plus	30
2011	Laptop	Generic	100
2011	Laptop	Generic	100
2011	Tablet	Generic	25
2011	Washer	Generic	100
2011	Laptop	Plus	120
2011	Laptop	Generic	100
2011	Laptop	Plus	120
2011	TV	Plus	168
2011	Dryer	Generic	100
2011	Laptop	Plus	120
2011	Phone	Generic	35
2011	Guitar	Generic	60
2011	Laptop	Plus	120
2011	Dryer	Plus	120
2011	Speakers	Plus	60
2011	Laptop	Generic	100
2011	Washer	Plus	120
